Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source_Airport,Source_City,Source_Latitude,Source_Longitude,Source_Altitude,Destination_Airport,Destination_City,Destination_Latitude,Destination_Longitude,Destination_Altitude,Source_geometry,Destination_geometry,distance,Source_Popution,Destination_Popution
DL,2009,DTW,3645,PHL,3752,,0,M88 319 73H ERJ M90 320,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Philadelphia International Airport,Philadelphia,39.87189865,-75.2410965,36,"(42.212398529052734, -83.35340118408203)","(39.87189865112305, -75.24109649658203)",729.5661318,"4,319,629","6,102,434"
DL,2009,DTW,3645,PHX,3462,,0,757 320 753,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Phoenix Sky Harbor International Airport,Phoenix,33.43429947,-112.012001,1135,"(42.212398529052734, -83.35340118408203)","(33.43429946899414, -112.01200103759766)",2688.880881,"4,319,629","4,948,203"
DL,2009,DTW,3645,PIA,4046,Y,0,CRJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,General Wayne A. Downing Peoria International Airport,Peoria,40.66419983,-89.69329834,660,"(42.212398529052734, -83.35340118408203)","(40.664199829100006, -89.6932983398)",556.8966203,"4,319,629","400,561"
DL,2009,DTW,3645,PIT,3570,,0,CR7 M88 320 ERJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Pittsburgh International Airport,Pittsburgh,40.49150085,-80.23290253,1203,"(42.212398529052734, -83.35340118408203)","(40.49150085, -80.23290253)",323.5726606,"4,319,629","2,317,600"
DL,2009,DTW,3645,PLN,5762,Y,0,CRJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Pellston Regional Airport of Emmet County Airport,Pellston,45.57089996,-84.79669952,721,"(42.212398529052734, -83.35340118408203)","(45.57089996, -84.79669952)",390.7500804,"4,319,629",
DL,2009,DTW,3645,PVD,3641,,0,319,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Theodore Francis Green State Airport,Providence,41.732601,-71.420403,55,"(42.212398529052734, -83.35340118408203)","(41.732601, -71.42040300000001)",989.7082145,"4,319,629","1,624,578"
DL,2009,DTW,3645,PWM,3862,Y,0,CRJ CR9,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Portland International Jetport Airport,Portland,43.64619827,-70.30930328,76,"(42.212398529052734, -83.35340118408203)","(43.64619827, -70.30930328)",1075.537438,"4,319,629","2,492,412"
DL,2009,DTW,3645,PWM,3862,Y,0,CRJ CR9,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Portland International Jetport Airport,Portland,43.64619827,-70.30930328,76,"(42.212398529052734, -83.35340118408203)","(43.64619827, -70.30930328)",1075.537438,"4,319,629","538,500"
DL,2009,DTW,3645,RDU,3626,,0,319 73H 738,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Raleigh Durham International Airport,Raleigh-durham,35.87760162,-78.78749847,435,"(42.212398529052734, -83.35340118408203)","(35.877601623535156, -78.7874984741211)",806.4254915,"4,319,629",
DL,2009,DTW,3645,RIC,3608,,0,ERJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Richmond International Airport,Richmond,37.50519943,-77.31970215,167,"(42.212398529052734, -83.35340118408203)","(37.50519943237305, -77.3197021484375)",734.277603,"4,319,629","1,291,900"
