Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source_Airport,Source_City,Source_Latitude,Source_Longitude,Source_Altitude,Destination_Airport,Destination_City,Destination_Latitude,Destination_Longitude,Destination_Altitude,Source_geometry,Destination_geometry,distance,Source_Popution,Destination_Popution
DL,2009,GSO,4008,ATL,3682,,0,M88 73H 320 738  319,Piedmont Triad International Airport,Greensboro,36.09780121,-79.93730164,925,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(36.097801208496094, -79.93730163574219)","(33.6367, -84.428101)",493.0116741,"771,851","6,020,364"
DL,2009,GSO,4008,DTW,3645,Y,0,CRJ,Piedmont Triad International Airport,Greensboro,36.09780121,-79.93730164,925,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(36.097801208496094, -79.93730163574219)","(42.212398529052734, -83.35340118408203)",740.0991195,"771,851","4,319,629"
DL,2009,GSO,4008,LGA,3697,Y,0,CR9 CR7,Piedmont Triad International Airport,Greensboro,36.09780121,-79.93730164,925,La Guardia Airport,New York,40.77719879,-73.87259674,21,"(36.097801208496094, -79.93730163574219)","(40.77719879, -73.87259674)",741.3700392,"771,851","19,216,182"
DL,2009,GSP,4034,ATL,3682,,0,M88 319 717,Greenville Spartanburg International Airport,Greenville,34.89569855,-82.21890259,964,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(34.895698547399995, -82.2189025879)","(33.6367, -84.428101)",246.766011,"920,477","6,020,364"
DL,2009,GSP,4034,ATL,3682,,0,M88 319 717,Greenville Spartanburg International Airport,Greenville,34.89569855,-82.21890259,964,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(34.895698547399995, -82.2189025879)","(33.6367, -84.428101)",246.766011,"180,742","6,020,364"
DL,2009,GSP,4034,DTW,3645,Y,0,CRJ,Greenville Spartanburg International Airport,Greenville,34.89569855,-82.21890259,964,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(34.895698547399995, -82.2189025879)","(42.212398529052734, -83.35340118408203)",818.1818412,"920,477","4,319,629"
DL,2009,GSP,4034,DTW,3645,Y,0,CRJ,Greenville Spartanburg International Airport,Greenville,34.89569855,-82.21890259,964,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,"(34.895698547399995, -82.2189025879)","(42.212398529052734, -83.35340118408203)",818.1818412,"180,742","4,319,629"
DL,2009,GSP,4034,LGA,3697,Y,0,CRJ,Greenville Spartanburg International Airport,Greenville,34.89569855,-82.21890259,964,La Guardia Airport,New York,40.77719879,-73.87259674,21,"(34.895698547399995, -82.2189025879)","(40.77719879, -73.87259674)",981.963498,"920,477","19,216,182"
DL,2009,GSP,4034,LGA,3697,Y,0,CRJ,Greenville Spartanburg International Airport,Greenville,34.89569855,-82.21890259,964,La Guardia Airport,New York,40.77719879,-73.87259674,21,"(34.895698547399995, -82.2189025879)","(40.77719879, -73.87259674)",981.963498,"180,742","19,216,182"
DL,2009,GTF,3880,MSP,3858,Y,0,E75,Great Falls International Airport,Great Falls,47.48199844,-111.3710022,3680,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(47.48199844, -111.3710022)","(44.882, -93.221802)",1427.269695,"81,366","3,654,908"
DL,2009,GTF,3880,SLC,3536,Y,0,CRJ,Great Falls International Airport,Great Falls,47.48199844,-111.3710022,3680,Salt Lake City International Airport,Salt Lake City,40.78839874,-111.9779968,4227,"(47.48199844, -111.3710022)","(40.78839874267578, -111.97799682617188)",745.3364297,"81,366","1,232,696"
DL,2009,GTR,4273,ATL,3682,Y,0,CRJ,Golden Triangle Regional Airport,Columbus Mississippi,33.45029831,-88.59140015,264,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(33.450298309299995, -88.59140014649999)","(33.6367, -84.428101)",387.1967217,,"6,020,364"
DL,2009,HIB,3650,MSP,3858,Y,0,CRJ,Range Regional Airport,Hibbing,47.38660049,-92.83899689,1354,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(47.38660049, -92.83899689)","(44.882, -93.221802)",279.9623511,,"3,654,908"
DL,2009,HLN,3504,MSP,3858,Y,0,E75,Helena Regional Airport,Helena,46.60680008,-111.9830017,3877,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(46.6068000793457, -111.98300170898438)","(44.882, -93.221802)",1468.953379,,"3,654,908"
DL,2009,HLN,3504,SLC,3536,Y,0,CRJ,Helena Regional Airport,Helena,46.60680008,-111.9830017,3877,Salt Lake City International Airport,Salt Lake City,40.78839874,-111.9779968,4227,"(46.6068000793457, -111.98300170898438)","(40.78839874267578, -111.97799682617188)",646.4616994,,"1,232,696"
DL,2009,HNL,3728,ATL,3682,,0,333,Daniel K Inouye International Airport,Honolulu,21.32062,-157.924228,13,Hartsfield Jackson Atlanta International Airport,Atlanta,33.6367,-84.428101,1026,"(21.32062, -157.924228)","(33.6367, -84.428101)",7245.753727,,"6,020,364"
DL,2009,HNL,3728,LAX,3484,,0,753 76W 757,Daniel K Inouye International Airport,Honolulu,21.32062,-157.924228,13,Los Angeles International Airport,Los Angeles,33.94250107,-118.4079971,125,"(21.32062, -157.924228)","(33.94250107, -118.40799709999999)",4113.282692,,"13,214,799"
DL,2009,HNL,3728,SEA,3577,,0,753,Daniel K Inouye International Airport,Honolulu,21.32062,-157.924228,13,Seattle Tacoma International Airport,Seattle,47.449001,-122.308998,433,"(21.32062, -157.924228)","(47.449001, -122.308998)",4308.467108,,"3,979,845"
DL,2009,HNL,3728,SFO,3469,,0,753,Daniel K Inouye International Airport,Honolulu,21.32062,-157.924228,13,San Francisco International Airport,San Francisco,37.61899948,-122.375,13,"(21.32062, -157.924228)","(37.61899948120117, -122.375)",3860.040262,,"4,731,803"
